Price,Close,High,Low,Open,Volume
Ticker,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS
Date,,,,,
06-01-2021,263.0203552,266.8034989,259.6524453,261.1287975,40765708
07-01-2021,265.4655762,269.2486917,264.8196633,266.6650965,30546600
08-01-2021,263.8969727,268.8796371,263.1588106,267.6801167,32543357
11-01-2021,260.6674194,265.9269149,257.9915471,265.7423603,29703173
12-01-2021,269.8946228,271.1402959,256.4229539,258.3606646,44307145
13-01-2021,283.089447,284.1967182,271.7400439,273.1241188,78042133
14-01-2021,283.5046692,285.3501023,280.3212857,282.9971863,40123498
15-01-2021,280.3674622,286.8726033,278.0145178,283.0894594,35307601
18-01-2021,271.6939392,284.7964992,269.6178267,280.0445139,54969750
19-01-2021,275.5231934,279.1217826,273.4932055,274.6466013,35803901
20-01-2021,279.1679077,281.151771,273.9084398,275.7077203,33759304
21-01-2021,272.0630188,281.5669893,268.9719123,280.5058708,29995203
22-01-2021,261.7747192,274.9695558,260.5751707,272.6627642,44440810
25-01-2021,259.2372742,265.7424158,255.6386564,262.5129073,34034630
27-01-2021,254.3468323,262.8358365,251.6248351,258.5452098,39211107
28-01-2021,260.5290527,261.4517694,248.6721381,250.8866524,48717297
29-01-2021,260.2983398,268.1875549,257.5301902,263.5278477,42300984
01-02-2021,286.6880493,289.6407254,260.8981099,263.0664995,103414068
02-02-2021,307.3569031,311.3245732,290.6557271,290.6557271,121434166
03-02-2021,309.9866333,313.6313467,300.6210379,307.9566456,66420168
04-02-2021,327.6566772,330.3325498,305.5114784,308.556432,145203439
05-02-2021,362.7198792,376.7913064,355.3842714,357.0913026,214955688
08-02-2021,366.3645935,376.2837964,364.2423567,367.2411855,79389205
09-02-2021,364.2885132,372.3161591,358.936768,366.0878219,63869990
10-02-2021,361.9355469,367.1488895,358.0140018,363.5964253,54163507
11-02-2021,359.9978638,366.2723533,358.2447079,361.5203405,36392708
12-02-2021,362.7660217,368.4868759,355.75337,360.7821867,53589755
15-02-2021,375.4995728,377.8063645,365.1190099,366.7798887,56608937
16-02-2021,371.2550354,383.6194324,369.3634494,380.1592451,80365431
17-02-2021,379.9285889,382.7890162,369.2250699,371.854818,74161370
18-02-2021,383.111969,394.6459273,381.727894,392.2007056,67154539
19-02-2021,368.6714172,382.9274004,364.4730678,382.9274004,66155518
22-02-2021,359.3981323,370.0093737,355.8456676,369.6402927,52535049
23-02-2021,365.0267029,368.8098467,358.9367675,361.7049174,45462768
24-02-2021,374.8536072,378.7751526,364.6576003,366.3184789,39632090
25-02-2021,375.7763672,382.8351441,375.1304542,379.2365547,46988836
26-02-2021,359.9978638,370.0093442,357.0913122,368.6252693,64450414
01-03-2021,364.4269104,366.9643809,360.7821688,364.5653123,29677890
02-03-2021,363.7348633,368.6713741,360.3669255,364.4730252,30534337
03-03-2021,373.7463379,377.2988023,365.3957641,365.8571224,46268223
04-03-2021,365.0728455,372.316177,363.9656023,367.8871482,43603653
05-03-2021,354.0002136,364.4730525,348.8791478,364.4730525,72179228
08-03-2021,359.4904175,362.9967295,356.2147564,358.429299,39147858
09-03-2021,357.644928,364.3807473,352.708389,363.0428252,28054083
10-03-2021,357.7372437,362.6276305,355.8918104,360.8744745,22677399
12-03-2021,351.6473083,362.812185,348.3255229,361.4281101,35336355
15-03-2021,354.230896,356.1686065,340.8053808,352.9390984,42722585
16-03-2021,349.294342,357.8756229,347.0337034,355.7995107,38196452
17-03-2021,339.6981201,350.3093613,337.7604096,348.9714391,33143064
18-03-2021,338.7292786,346.0187343,333.1929788,342.7892261,39405038
19-03-2021,342.4662476,344.0810015,329.6404929,335.8227052,60309145
22-03-2021,338.6370239,343.9887694,335.4075155,343.2506074,28461974
23-03-2021,343.8965149,348.7407774,338.6831432,340.2056482,41032380
24-03-2021,332.0395813,340.5285573,330.9323101,340.0210744,42318999
25-03-2021,327.7489624,332.9623058,318.521796,332.177991,57495003
26-03-2021,329.5943604,334.0233885,327.149139,332.1779554,40718848
30-03-2021,332.9161377,336.1456458,328.763913,332.270253,39405124
31-03-2021,336.1456299,339.4212906,330.2864023,332.4547637,38651025
01-04-2021,342.0049133,343.1583091,335.038414,339.2829162,31883453
05-04-2021,326.2264709,340.6670095,322.0742459,339.0983799,51743981
06-04-2021,323.4582825,329.4098156,322.3048868,328.2102953,44147709
07-04-2021,330.8400574,335.1307125,320.7363265,324.1042368,48023602
08-04-2021,328.1180115,335.222912,326.9184631,333.1006752,33370259
09-04-2021,325.7189941,336.3302362,324.0581153,327.0107919,46473100
12-04-2021,303.4353638,317.4145148,297.6222322,317.4145148,75501713
13-04-2021,314.6463623,315.7997581,304.957838,306.3419129,49773360
15-04-2021,316.2149963,320.6901494,310.125061,315.6613607,52992349
16-04-2021,313.6313782,318.798597,312.4779824,316.4918054,37766793
19-04-2021,305.5576172,306.3880566,296.4688524,301.8667505,53304377
20-04-2021,304.0351257,313.6313729,301.4515305,309.2023444,41296147
22-04-2021,310.6325378,311.5552544,298.3142656,300.8056117,49105833
23-04-2021,310.4480286,313.6313841,306.0189717,306.0189717,44223940
26-04-2021,317.6913147,320.5978945,313.0316071,313.0316071,49234985
27-04-2021,325.7651062,327.5182904,315.9381794,317.4145317,46003023
28-04-2021,335.3152161,336.1456554,328.5332432,329.4098353,56696255
29-04-2021,331.6243591,341.3590367,328.0257698,336.791578,63692926
30-04-2021,326.1803284,334.484778,323.3660539,326.1342038,53832840
03-05-2021,323.504425,325.2575808,315.0154216,322.5817085,43691860
04-05-2021,324.3348694,334.8538325,323.1353491,327.5643773,57749307
05-05-2021,327.9335022,329.8250883,321.1054044,328.9484962,40872501
06-05-2021,328.0718689,331.5782088,323.458286,330.3325358,36294427
07-05-2021,330.5631714,334.0233581,325.71891,329.871134,38357618
10-05-2021,333.7466125,338.6369994,331.0707118,332.6393413,41739324
11-05-2021,336.4686279,338.0833821,327.3337385,329.2714492,41892770
12-05-2021,339.2828674,344.6346119,333.9310949,334.7615341,53436590
14-05-2021,332.5932007,343.7119241,331.7627332,341.4051327,51722170
17-05-2021,353.4927063,355.4304166,335.5458586,336.237896,106555796
18-05-2021,352.7084351,362.2124052,350.6784472,359.859489,70917710
19-05-2021,354.6922607,359.3981211,351.7395845,352.4777465,48189573
20-05-2021,354.8306885,357.8295177,352.4777722,357.0913556,42898608
21-05-2021,370.1939087,373.1465849,348.7868725,359.8594716,192810772
24-05-2021,380.2053833,386.8028299,373.9770459,384.772842,142964052
25-05-2021,380.4821777,383.3887293,376.9297134,383.0196483,56048127
26-05-2021,381.589447,386.3875847,379.0519763,381.8201262,52357719
27-05-2021,392.3391418,395.9377312,380.1592705,381.7279001,73392997
28-05-2021,389.4325256,400.1360437,387.5870925,397.2294921,65137568
31-05-2021,391.5547791,393.0772557,385.6955232,388.4636729,38291043
01-06-2021,399.1210327,401.704656,392.7081696,393.1233751,59299647
02-06-2021,403.4578247,404.1037376,395.9838148,397.5062915,38657806
03-06-2021,409.4177246,411.5595835,403.6906314,406.949956,38909199
04-06-2021,403.7837524,411.5129964,402.0609609,407.4155655,36898769
07-06-2021,402.5265808,407.3224384,401.1762778,405.1806079,20201197
08-06-2021,397.8238525,402.7593898,394.8438873,402.5265809,31113823
09-06-2021,392.4692383,402.5731214,389.4427227,398.1032021,27784834
10-06-2021,402.5265808,403.5043668,393.3539046,395.6819936,27397712
11-06-2021,400.0588074,405.5530916,396.007927,404.9477941,26831924
14-06-2021,400.7572327,402.712833,388.0458728,397.6375878,30106015
15-06-2021,399.9656982,403.0387644,398.5688448,399.6863389,16413658
16-06-2021,396.6598206,402.9922114,395.7751354,398.5688422,19701175
17-06-2021,391.3517761,396.6598306,387.9527717,392.0502029,23048331
18-06-2021,384.5071716,394.7507632,374.9620068,394.7507632,45748727
21-06-2021,390.8861389,392.0501834,372.9598538,378.4075877,33128978
22-06-2021,389.8617859,396.1942051,388.6046121,393.9126665,28442965
23-06-2021,390.0480347,395.542319,386.4627719,392.1433148,27564829
24-06-2021,388.5115051,393.6798514,387.6733703,391.4448916,19214547
25-06-2021,399.3138123,401.3625419,390.2342652,392.050186,29886797
28-06-2021,397.4047852,403.3646872,395.3560555,401.0831771,29370660
29-06-2021,392.5158081,399.4535247,391.6311229,398.1032217,22275961
30-06-2021,390.3739624,395.6819881,389.5358277,393.9126462,18337773
01-07-2021,391.4914856,394.5645805,388.4649695,391.3983563,16161469
02-07-2021,395.2164001,396.1476358,390.1877334,391.3983283,16423811
05-07-2021,402.8990784,404.6218699,395.076705,397.1719851,16483761
06-07-2021,400.1985168,406.4843574,398.755113,402.0144377,20195278
07-07-2021,403.0853577,404.156273,398.1497917,399.8260329,14473774
08-07-2021,395.26297,405.459983,393.0745606,403.0387647,21433043
09-07-2021,394.611084,398.1032175,392.0967365,395.7751285,16844494
12-07-2021,398.0566711,400.6641195,395.402644,397.1719859,12886781
13-07-2021,399.5932007,402.1075197,398.8481952,400.431307,12831125
14-07-2021,401.4091187,402.5731632,397.0788785,399.5000969,12767351
15-07-2021,402.0144043,403.1784488,400.1053543,402.9456399,11030732
16-07-2021,400.4313354,402.7594246,398.0566959,402.2938068,8713863
19-07-2021,398.475708,399.9191402,390.0480372,394.2851478,14426686
20-07-2021,391.9570618,397.6376047,390.0945906,397.6376047,14623321
22-07-2021,393.0279846,397.358253,391.9570693,396.2873093,11799761
23-07-2021,399.4069824,400.3847969,390.6533726,393.8195683,17704661
26-07-2021,394.1920166,398.3825768,393.260781,398.3825768,14037519
27-07-2021,400.3847656,403.4578318,394.8439023,394.983582,24119619
28-07-2021,396.2407532,400.8969312,392.0967433,400.4313134,17636515
29-07-2021,411.1870728,413.0961228,396.2407526,396.7063704,35263606
30-07-2021,402.1075439,413.8411189,401.0832075,411.1405412,35196813
02-08-2021,404.9943237,406.6705647,402.1074879,404.8546441,16926025
03-08-2021,415.7966919,417.100416,403.7837584,405.0409322,40922962
